MODE,MAX_NUMBER,NUM_THREADS,PRIME_COUNT,TIME_MS
NAIVE_PARALLEL,50,8,8,0.358547
NAIVE_PARALLEL,50,9,8,0.347189
NAIVE_PARALLEL,50,10,12,0.471330
NAIVE_PARALLEL,50,11,9,0.518166
NAIVE_PARALLEL,50,12,24,3.419894
NAIVE_PARALLEL,50,1,15,0.001585
NAIVE_PARALLEL,50,2,15,0.053897
NAIVE_PARALLEL,50,3,19,0.088343
NAIVE_PARALLEL,50,4,13,0.129491
NAIVE_PARALLEL,50,5,8,0.176006
NAIVE_PARALLEL,50,6,13,0.255470
NAIVE_PARALLEL,50,7,12,0.354376
NAIVE_PARALLEL,50,8,10,0.304757
NAIVE_PARALLEL,50,9,9,0.336462
NAIVE_PARALLEL,50,10,9,0.398557
NAIVE_PARALLEL,50,11,19,0.552293
NAIVE_PARALLEL,50,12,15,4.264447
