PROCESS_COUNT,ROW_COUNT,COL_COUNT,TIME_MS
6,40213,40213,1.197413
2,40443,40443,1.807676
3,40443,40443,1.243385
4,40443,40443,1.105830
5,40443,40443,1.102521
6,40443,40443,1.407202
2,40673,40673,2.105422
3,40673,40673,1.267556
4,40673,40673,1.303859
5,40673,40673,1.453908
6,40673,40673,1.280922
2,40903,40903,2.072317
3,40903,40903,1.373175
4,40903,40903,1.214478
5,40903,40903,1.427077
6,40903,40903,1.283408
2,41133,41133,1.971906
3,41133,41133,1.468614
4,41133,41133,1.328983
5,41133,41133,1.299410
6,41133,41133,1.297198
2,41363,41363,1.843875
3,41363,41363,1.466832
4,41363,41363,1.383542
5,41363,41363,1.509597
6,41363,41363,1.432042
2,41593,41593,2.294645
3,41593,41593,1.656866
4,41593,41593,1.381023
5,41593,41593,1.343091
6,41593,41593,1.400781
2,41823,41823,1.916482
3,41823,41823,1.672000
4,41823,41823,1.722948
5,41823,41823,1.450702
6,41823,41823,1.441382
2,42054,42054,2.170164
3,42054,42054,1.613260
4,42054,42054,1.707147
5,42054,42054,1.408024
6,42054,42054,1.594906
2,42285,42285,2.399907
3,42285,42285,1.699030
4,42285,42285,1.622362
5,42285,42285,1.508783
6,42285,42285,1.530804
2,42516,42516,2.334150
3,42516,42516,1.949835
4,42516,42516,1.586328
5,42516,42516,1.550835
6,42516,42516,1.481689
2,42747,42747,2.223947
3,42747,42747,1.838311
4,42747,42747,1.669269
5,42747,42747,1.724535
6,42747,42747,1.655920
2,42978,42978,2.427419
3,42978,42978,1.816206
4,42978,42978,1.663993
5,42978,42978,1.596155
6,42978,42978,1.513210
2,43209,43209,2.517029
3,43209,43209,1.919212
4,43209,43209,1.774629
5,43209,43209,1.845914
6,43209,43209,1.499677
2,43440,43440,2.328703
3,43440,43440,1.926683
4,43440,43440,1.766066
5,43440,43440,1.741291
6,43440,43440,1.690860
2,43671,43671,2.552756
3,43671,43671,1.882063
4,43671,43671,1.675156
